"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT21","WT22"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-02-11","13.65","0.10","0.2","0.0",,"43","23","  300","  320",,"33.1","47.0","    1",,,,,,,,,"    1","    1",,"    1",,"    1",,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-02-12","16.55","0.01","0.1","0.0",,"33","23","  330","  340",,"34.9","49.0",,,,,,,,,,,,,,,"    1",,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-02-13","6.26","0.00","0.0","0.0",,"50","24","  260","  270",,"16.1","21.0",,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-02-14","5.82","0.00","0.0","0.0",,"56","37","  210","  210",,"19.9","23.9",,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-02-15","7.83","0.00","0.0","0.0",,"55","40","  340","  350",,"21.0","25.9",,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-02-16","3.58","0.09","0.0","0.0",,"47","41","  190","  200",,"13.0","16.1","    1",,,,,,,,,"    1",,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-02-17","9.17","0.00","0.0","0.0",,"54","39","  330","  320",,"23.0","28.0","    1","    1",,,,,,,,"    1",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-02-18","8.50","0.00","0.0","0.0",,"59","34","   10","  350",,"23.9","31.1",,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-02-19","9.62","0.08","0.0","0.0",,"45","35","  350","  350",,"19.9","23.9","    1",,,,,,,,,"    1",,,"    1",,"    1",,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-02-20","9.40","0.00","0.0","0.0",,"50","34","   10","  360",,"21.9","25.9",,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-02-21","8.72","0.00","0.0","0.0",,"50","32","  220","  220",,"23.9","29.1",,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-02-22","10.07","0.00","0.0","0.0",,"63","43","  200","  190",,"23.9","30.0",,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-02-23","7.61","0.00","0.0","0.0",,"67","47","  260","  260",,"16.1","21.9",,,,,,,,,,,,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-02-24","9.84","0.31","0.0","0.0",,"57","46","  300","  300",,"33.1","45.0",,,"    1",,,,,,,"    1",,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-02-25","18.12","0.00","0.0","0.0",,"47","35","  280","  270",,"30.0","44.1",,,,,,,,,,,,,,,"    1",,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-02-26","8.72","0.00","0.0","0.0",,"49","34","  340","  290",,"17.0","23.9",,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-02-27","11.18","0.00","0.0","0.0",,"64","36","  200","  190",,"23.0","28.0",,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-02-28","8.05","0.00","0.0","0.0",,"56","40","  340","  350",,"23.0","30.0",,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-02-29","7.61","1.44","0.0","0.0",,"56","40","  170","  170",,"32.0","38.9","    1",,,,,,,,,"    1",,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-03-01","10.07","0.05","0.0","0.0",,"70","46","   10","   10",,"21.9","25.1","    1",,,,,,,,,"    1",,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-03-02","5.82","0.34","0.0","0.0",,"55","40","  170","  180",,"17.9","21.0",,,"    1",,,,,,,"    1","    1",,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-03-03","8.28","0.16","0.0","0.0",,"63","48","  310","  300",,"21.0","29.1","    1",,,,,,,,,"    1","    1",,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-03-04","13.65","0.00","0.0","0.0",,"51","37","  330","  310",,"25.9","36.0",,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-03-05","10.29","0.00","0.0","0.0",,"46","32","  320","  320",,"28.0","33.1",,,,,,,,,,,,,,,"    1",,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-03-06","8.50","0.00","0.0","0.0",,"49","29","  200","  200",,"17.0","19.9",,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-03-07","14.54","0.00","0.0","0.0",,"67","40","  190","  200",,"25.1","33.1",,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-03-08","19.01","0.00","0.0","0.0",,"74","53","  210","  220",,"31.1","38.9",,,,,,,,,,,,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-03-09","16.78","0.01","0.0","0.0",,"67","41","  340","  280",,"30.0","38.0",,,,,,,,,,,,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-03-10","8.95","0.00","0.0","0.0",,"50","34","  330","  310",,"21.0","25.9",,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-03-11","9.62","0.00","0.0","0.0",,"63","35","  200","  200",,"17.0","21.9",,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-03-12","8.72","0.00","0.0","0.0",,"72","45","  200","  210",,"17.9","23.0",,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-03-13","9.40","0.01","0.0","0.0",,"81","56","  230","  250",,"17.0","25.1",,,,,,,,,,,,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-03-14","5.14","0.00","0.0","0.0",,"81","54","  340","  310",,"15.0","21.0",,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-03-15","6.71","0.00","0.0","0.0",,"82","54","  110","  100",,"17.9","23.0",,,,,,,,,,,,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-03-16","4.03","0.02","0.0","0.0",,"59","51","   50","   50",,"14.1","17.0",,,,,,,"    1",,,"    1",,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-03-17","4.70","0.00","0.0","0.0",,"75","52","  100","   10",,"14.1","21.9",,,,,,,"    1",,,"    1",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-03-18","4.92","0.00","0.0","0.0",,"68","52","  200","  190",,"12.1","14.1","    1",,,,,,,,,"    1","    1",,,,,,
